"Action","Time","Policy","Cluster","Namespace","Operation","Kind"
"","2023-06-22T00:00:05","PLATFRM_ACUMOS_CORP_GAIA_AKS_Policy","aks_ctxonad_dev","000000000032856-production","","Job"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000032856-staging","","Job"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"","2023-06-22T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000028210-staging","","Pod"
"","2023-06-22T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000028210-staging","","Job"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-18T00:00:04","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-18T00:00:04","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-18T00:00:04","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-18T00:00:04","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-18T00:00:04","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-18T00:00:04","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"log","2023-06-18T00:00:04","PLATFRM_ACUMOS_CORP_GAIA_AKS_Policy","aks_ctxonad_dev","trendmicro-system","","Pod"
"log","2023-06-18T00:00:04","PLATFRM_ACUMOS_CORP_GAIA_AKS_Policy","aks_ctxonad_dev","trendmicro-system","","Pod"
"log","2023-06-18T00:00:04","PLATFRM_ACUMOS_CORP_GAIA_AKS_Policy","aks_ctxonad_dev","tigera-operator","","Pod"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000032856-prod-enh-102","","Pod"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000032856-prod-enh-102","","Job"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000028210-staging","","Pod"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","000000000028210-staging","","Job"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Job"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","DaemonSet"
"","2023-06-26T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
"","2023-06-24T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"","2023-06-24T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"","2023-06-24T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","DaemonSet"
"log","2023-06-24T00:00:05","policy_gke_cio_msft_sysadmin_prod_001","cluster_gke_cio_msft_sysadmin_prod_001","default","","Pod"
"","2023-06-24T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","calico-system","","Deployment"
"","2023-06-24T00:00:05","NAD_Prod_EKS_L","NAD_Prod_EKS_L","000000000032856-production","","Pod"
"","2023-06-24T00:00:05","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","calico-system","","Deployment"
