"Cloud Provider","Account Number","Subscription Name","Service Name","Resource Name","Resource ID","Resource Type","Operating System","State","Private IP","Public IP","Network Interface","Owner","Project Name","Project ID","Region Name","Zone Name","VPC ID","Subnet ID","Memory (MB)","CPU Cores","Launch Time","Description","timestamp"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp40272bs","6370528386936660283","e2-custom-4-8192","windows-server-2016-dc","TERMINATED","10.41.4.3","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","8192","4","2021-03-12T04:34:29.608-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-b4pdr-002","6888229622941606335","custom-6-23040","sles-sap-15","TERMINATED","10.41.4.7","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","23040","6","2021-04-06T06:17:04.799-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmumvm-001","679953850831950356","e2-standard-4","windows-server-2016-dc","RUNNING","10.179.29.163","None","","","projects/77418506919","poc-96000034","asia-south1","asia-south1-c","techm-vpc-poc","cduproduct-innovationmgmtp-96000034-poc-subnet","16384","4","2021-06-23T01:12:45.440-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp35454-003","1148511073575240667","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.179.9.166","None","","","projects/426139793976","prod-35454","asia-south1","asia-south1-c","tim-cio-prod","cio-hci-35454-prod-app-subnet","16384","8","2020-11-05T00:52:05.728-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmumvm-21923-002","5006017649633688328","e2-custom-6-16384","windows-server-2016-dc","TERMINATED","10.179.8.195","None","","","projects/662346668248","prod-21923","asia-south1","asia-south1-c","tim-cio-prod","cio-ps-21923-prod-app-subnet","16384","6","2020-09-25T03:26:49.048-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-bdpdr-001","8428438885658313837","m1-ultramem-160","sles-sap-15","TERMINATED","10.41.4.79","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","3936256","160","2021-04-07T02:25:23.568-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmumvm-b","6813017508564392945","e2-medium","windows-server-2016-dc","RUNNING","10.179.29.162","None","","","projects/77418506919","poc-96000034","asia-south1","asia-south1-c","techm-vpc-poc","cduproduct-innovationmgmtp-96000034-poc-subnet","4096","2","2021-06-23T00:39:15.663-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvdmgmtcduta-003","4983190667255614624","e2-standard-8","windows-server-2016-dc","RUNNING","10.179.41.5","None","","","projects/526326811285","poc-mgmt-cdu-ta","asia-south1","asia-south1-c","techm-vpc-poc","mgmt-project-for-cdu-ta-mgmt-cdu-ta-poc-subnet","32768","8","2020-10-07T05:19:29.266-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpvm21923-05","3751351591005066204","e2-standard-4","windows-server-2016-dc","RUNNING","10.179.8.227","None","","","projects/662346668248","prod-21923","asia-south1","asia-south1-c","tim-cio-prod","cio-ps-21923-prod-db-subnet","16384","4","2020-12-15T22:46:13.221-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-bopdr-001","4632129108180598340","custom-10-66560","sles-sap-15","TERMINATED","10.41.4.10","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","66560","10","2021-04-12T05:44:28.714-07:00","","2023-06-09T08:15:12"
