"Namespace","Pod_Name","Action","Time","Policy","Cluster","Rule","Container_Name","Container_ID","Process_Name","Executable"
"","cassandra-0","log","2023-06-25T00:00:08","gke_43220_dev_001","gke_43220_dev_001","TM-00000039","cassandra","6a886d606718","java","/opt/bitnami/java/bin/java"
"","ingress-nginx-controller-5f8ccb58b-zxw94","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000046","k8s_controller_ingress-nginx-controller-5f8ccb58b-zxw94_ingress-nginx_11e90ca4-fba7-4f84-ae4c-f79843102d86_0","c25f0b5268c5","nginx","nginx: worker process"
"","000000000032856-nad-rbac-microservice-staging-78c67fd5b7-zbg7j","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000039","k8s_000000000032856-nad-rbac-microservice-staging_000000000032856-nad-rbac-microservice-staging-78c67fd5b7-zbg7j_000000000032856-staging_92a742d0-3092-4a6b-bb9a-b3ec5f23539b_0","6e9c7e92ab11","node","node /usr/src/NAD-user-management/index.js"
"","ingress-nginx-controller-5f8ccb58b-fr7fv","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000046","k8s_controller_ingress-nginx-controller-5f8ccb58b-fr7fv_ingress-nginx_c3d82b4f-1bf7-43ed-979e-c9ba7293e27f_0","7ce542e39f62","nginx","nginx: worker process"
"","000000000032856-nad-caas-microservice-rmg2-5475f96f4c-2xqkf","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000039","k8s_000000000032856-nad-caas-microservice-rmg2_000000000032856-nad-caas-microservice-rmg2-5475f96f4c-2xqkf_000000000032856-rmg2_3968f1d7-9e27-4abe-ac5c-978df4abbf87_2","c5631fb05896","node","node"
"","ingress-nginx-controller-5f8ccb58b-b6lrb","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000046","k8s_controller_ingress-nginx-controller-5f8ccb58b-b6lrb_ingress-nginx_cbb6c5ea-86ea-4b66-8f26-36a072ba4f58_0","7f2bbef71a22","nginx","nginx: worker process"
"","000000000032856-nad-infra-automation-ms-staging-6987bd89c4l4rgl","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000044","k8s_000000000032856-nad-infra-automation-ms-staging_000000000032856-nad-infra-automation-ms-staging-6987bd89c4l4rgl_000000000032856-staging_66d9983c-8449-41e0-9047-dbca726de432_6294","c3c451dc3fc7","runc:[1:CHILD]","runc"
"","netops-system-configuration-7bb5745798-p6jsz","log","2023-06-25T00:00:08","gke_43220_dev_001","gke_43220_dev_001","TM-00000040","netops-system-configuration","716e34f66e98","python3","python3"
"","ingress-nginx-controller-5f8ccb58b-r757d","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000046","k8s_controller_ingress-nginx-controller-5f8ccb58b-r757d_ingress-nginx_130c544e-a5b2-426a-ba4c-ecac2d03bf68_0","81e1c85695b0","nginx","nginx: worker process"
"","000000000032856-nad-caas-microservice-rmg-e2e-76b8b6f6b8-fz252","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000039","k8s_000000000032856-nad-caas-microservice-rmg-e2e_000000000032856-nad-caas-microservice-rmg-e2e-76b8b6f6b8-fz252_000000000032856-rmg-e2e_558e7ed5-38b4-4945-b55c-0bc15af9fba9_0_1a96c687","2ba0ba18f4fd","node","node"
"","ingress-nginx-controller-5f8ccb58b-r4szr","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000046","k8s_controller_ingress-nginx-controller-5f8ccb58b-r4szr_ingress-nginx_d445c22f-28e8-455e-8c19-13c07e5d7e28_0","81f6f8717e0a","nginx","nginx: worker process"
"","netops-system-configuration-7bb5745798-p6jsz","log","2023-06-25T00:00:08","gke_43220_dev_001","gke_43220_dev_001","TM-00000040","netops-system-configuration","716e34f66e98","python3","/venv/bin/python3"
"","cassandra-0","log","2023-06-25T00:00:08","gke_43220_dev_001","gke_43220_dev_001","TM-00000044","cassandra","6a886d606718","java","/opt/bitnami/java/bin/java"
"","cassandra-0","log","2023-06-25T00:00:08","gke_43220_dev_001","gke_43220_dev_001","TM-00000044","cassandra","6a886d606718","nodetool","/bin/sh"
"","scanner-subconv2-new-f3ad0afb-c14f-4505-a4eb-1ca40c17d4ab-tq5mg","log","2023-06-25T00:00:08","Policy_NAD_SHARED_EKS_NLB","NAD_SHARED_EKS_NLB","TM-00000043","k8s_vulnerability-scanner-init_scanner-subconv2-new-f3ad0afb-c14f-4505-a4eb-1ca40c17d4ab-tq5mg_000000000032856-subconv2_4d28e51c-6c14-4bdf-838d-da3977356169_0","674b640eff3d","sbom-job","/app/sbom-job"
