"type","entitlements.registries","entitlements.updates","cloudoneEnabled","malwareScanEnabled","timestamp"
"cloudone","-1","true","true","true","2023-06-18T00:00:53"
"cloudone","-1","true","true","true","2023-06-22T00:00:51"
"cloudone","-1","true","true","true","2023-06-23T00:00:50"
"cloudone","-1","true","true","true","2023-06-24T00:00:51"
"cloudone","-1","true","true","true","2023-06-25T00:00:50"
"cloudone","-1","true","true","true","2023-06-26T00:00:50"
"cloudone","-1","true","true","true","2023-06-27T00:00:51"
"cloudone","-1","true","true","true","2023-06-28T00:00:50"
"cloudone","-1","true","true","true","2023-07-13T09:04:10"
"cloudone","-1","true","true","true","2023-07-13T11:18:16"
"cloudone","-1","true","true","true","2023-07-14T08:59:07"
