"id","href","name","description","host","insecureSkipVerify","rootCAs","status","metrics.content.repositories","metrics.content.images","metrics.scans.pending","metrics.scans.inProgress","metrics.scans.ok","metrics.scans.warnings","metrics.scans.cancelled","metrics.scans.errors","metrics.findings.malware","metrics.findings.contents.total.high","metrics.findings.contents.unresolved.high","metrics.findings.vulnerabilities.total.critical","metrics.findings.vulnerabilities.total.high","metrics.findings.vulnerabilities.total.medium","metrics.findings.vulnerabilities.total.low","metrics.findings.vulnerabilities.total.unknown","metrics.findings.vulnerabilities.unresolved.critical","metrics.findings.vulnerabilities.unresolved.high","metrics.findings.vulnerabilities.unresolved.medium","metrics.findings.vulnerabilities.unresolved.low","metrics.findings.vulnerabilities.unresolved.unknown","metrics.findings.vulnerabilities.fixAvailable.critical","metrics.findings.vulnerabilities.fixAvailable.high","metrics.findings.vulnerabilities.fixAvailable.medium","metrics.findings.vulnerabilities.fixAvailable.low","metrics.findings.vulnerabilities.fixAvailable.unknown","metrics.findings.checklists.total.high","metrics.findings.checklists.total.medium","metrics.findings.checklists.total.low","metrics.findings.checklists.unresolved.high","metrics.findings.checklists.unresolved.medium","metrics.findings.checklists.unresolved.low","metrics.history.1d.scans","metrics.history.1w.scans","schedule","created","updated","timestamp"
"c2225676-de2f-4d37-bebf-3d940cd6dc32","/api/registries/c2225676-de2f-4d37-bebf-3d940cd6dc32","GCR-Container-POC","GCR-Container-POC","gcr.io","false","","ok","8","9","0","0","3","6","0","0","3","1","1","13","29","19","2","8","13","29","19","2","8","13","29","18","2","8","15","1","1","15","1","1","0","0","false","2023-04-07T09:12:10Z","2023-04-07T09:22:09Z","2023-06-22T00:00:49"
"455f7f8f-fefa-4561-aa19-5b23e77a3c14","/api/registries/455f7f8f-fefa-4561-aa19-5b23e77a3c14","D3OP","","605051368824.dkr.ecr.us-east-1.amazonaws.com","false","","ok","11","372","0","0","0","369","0","3","","2","2","12114","48739","51080","7001","15885","12073","48673","51046","6993","15842","9550","35206","36472","4454","12515","","","","","","","0","0","false","2023-06-05T06:17:49Z","2023-06-05T11:10:22Z","2023-06-22T00:00:49"
"01553798-ccad-479c-a810-e98f81fcbddb","/api/registries/01553798-ccad-479c-a810-e98f81fcbddb","HealthNXT-UAT","HealthNXT-UAT","healthnxtuatacr.azurecr.io","false","","ok","26","362","0","0","2","360","0","0","","2","2","1383","8293","11543","2316","15122","1383","8293","11543","2316","15085","153","801","928","12","5993","","","","","","","0","0","false","2023-04-13T10:34:48Z","2023-04-26T09:35:45Z","2023-06-22T00:00:49"
"1b878dd5-7a0d-43e5-aaa6-63121f9af6e9","/api/registries/1b878dd5-7a0d-43e5-aaa6-63121f9af6e9","GCR-ISGTECHSEC-POC","GCR-ISGTECHSEC-POC","asia.gcr.io","false","","ok","20","20","0","6","0","5","0","9","","","","465","1214","1721","396","649","449","1198","1715","396","649","374","636","1129","134","426","","","","","","","0","0","false","2023-04-12T11:51:09Z","2023-04-19T12:47:30Z","2023-06-22T00:00:49"
"4fec8623-2577-4329-8d5b-544f645e0706","/api/registries/4fec8623-2577-4329-8d5b-544f645e0706","healthNXT- ProdACR","healthNXT- ProdACR","healthnxtprodacr.azurecr.io","false","","ok","28","114","0","0","3","111","0","0","","6","6","381","1998","2236","556","2736","381","1996","2234","556","2723","99","447","442","30","1389","","","","","","","0","0","false","2023-04-13T10:31:51Z","2023-04-25T11:28:01Z","2023-06-22T00:00:49"
"dd82f1a9-b448-4221-a617-dc8ad4474d3c","/api/registries/dd82f1a9-b448-4221-a617-dc8ad4474d3c","healthnxt - dev","","healthnxtdevacr.azurecr.io","true","","ok","1","1","0","0","0","1","0","0","","","","32","197","249","19","321","32","197","249","19","321","21","125","122","5","248","","","","","","","0","1","false","2023-06-16T05:15:37Z","2023-06-16T05:33:53Z","2023-06-22T00:00:49"
"c942023f-ae7e-4182-9faf-d00f04c6e757","/api/registries/c942023f-ae7e-4182-9faf-d00f04c6e757","HealthNXTDEV - ACR","HealthNXTDEV - ACR","healthnxtdevacr.azurecr.io","false","","ok","1","1","0","0","0","0","0","1","","","","32","195","250","20","297","32","195","250","20","297","21","123","122","5","197","","","","","","","0","0","false","2023-04-13T10:33:04Z","2023-06-16T05:09:27Z","2023-06-22T00:00:49"
"cf344e27-df80-41c2-9925-dfdaff201b19","/api/registries/cf344e27-df80-41c2-9925-dfdaff201b19","DataMime - ECR","","705804239638.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","2","8","0","0","0","7","0","1","","","","16","110","186","15","203","16","110","186","15","201","","1","1","","108","","","","","","","0","6","false","2023-05-05T09:58:29Z","2023-06-15T11:59:58Z","2023-06-22T00:00:49"
"f220d039-053b-4e62-aaf8-f52e6be4fa0c","/api/registries/f220d039-053b-4e62-aaf8-f52e6be4fa0c","DataMime","","705804239638.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","2","2","0","0","0","1","0","1","","","","16","110","186","15","152","16","110","186","15","150","","1","1","","57","","","","","","","0","3","false","2023-06-16T04:59:19Z","2023-06-16T05:03:15Z","2023-06-22T00:00:49"
"2bdc6982-2e6a-4a55-933a-f29b289b4e5d","/api/registries/2bdc6982-2e6a-4a55-933a-f29b289b4e5d","ACR-POC","ACR-POC","dpwnadcrpvt.azurecr.io","true","","ok","11","11","0","0","2","9","0","0","","35","35","19","125","46","7","21","7","94","35","7","21","7","94","35","7","21","12","2","","12","2","","0","0","false","2023-04-07T09:31:22Z","2023-04-07T10:41:56Z","2023-06-22T00:00:49"
"8482a973-3593-42f6-9586-e9c938833918","/api/registries/8482a973-3593-42f6-9586-e9c938833918","ACR - May 5","","healthnxtprodacr.azurecr.io","true","","ok","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","false","2023-05-05T10:43:11Z","2023-06-15T05:08:38Z","2023-06-22T00:00:49"
"7d3b5a90-c3db-491e-bf94-8530f6bccb09","/api/registries/7d3b5a90-c3db-491e-bf94-8530f6bccb09","Afteaze-ECR","","153851308551.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","false","2023-05-05T08:08:28Z","2023-05-05T08:09:47Z","2023-06-22T00:00:49"
"c2225676-de2f-4d37-bebf-3d940cd6dc32","/api/registries/c2225676-de2f-4d37-bebf-3d940cd6dc32","GCR-Container-POC","GCR-Container-POC","gcr.io","false","","ok","8","9","0","0","3","6","0","0","3","1","1","13","29","19","2","8","13","29","19","2","8","13","29","18","2","8","15","1","1","15","1","1","0","0","false","2023-04-07T09:12:10Z","2023-04-07T09:22:09Z","2023-06-18T00:00:52"
"455f7f8f-fefa-4561-aa19-5b23e77a3c14","/api/registries/455f7f8f-fefa-4561-aa19-5b23e77a3c14","D3OP","","605051368824.dkr.ecr.us-east-1.amazonaws.com","false","","ok","11","372","0","0","0","369","0","3","","2","2","12114","48739","51080","7001","15885","12073","48673","51046","6993","15842","9550","35206","36472","4454","12515","","","","","","","0","0","false","2023-06-05T06:17:49Z","2023-06-05T11:10:22Z","2023-06-18T00:00:52"
"01553798-ccad-479c-a810-e98f81fcbddb","/api/registries/01553798-ccad-479c-a810-e98f81fcbddb","HealthNXT-UAT","HealthNXT-UAT","healthnxtuatacr.azurecr.io","false","","ok","26","362","0","0","2","360","0","0","","2","2","1383","8293","11543","2316","15122","1383","8293","11543","2316","15085","153","801","928","12","5993","","","","","","","0","0","false","2023-04-13T10:34:48Z","2023-04-26T09:35:45Z","2023-06-18T00:00:52"
"1b878dd5-7a0d-43e5-aaa6-63121f9af6e9","/api/registries/1b878dd5-7a0d-43e5-aaa6-63121f9af6e9","GCR-ISGTECHSEC-POC","GCR-ISGTECHSEC-POC","asia.gcr.io","false","","ok","20","20","0","6","0","5","0","9","","","","465","1214","1721","396","649","449","1198","1715","396","649","374","636","1129","134","426","","","","","","","0","0","false","2023-04-12T11:51:09Z","2023-04-19T12:47:30Z","2023-06-18T00:00:52"
"4fec8623-2577-4329-8d5b-544f645e0706","/api/registries/4fec8623-2577-4329-8d5b-544f645e0706","healthNXT- ProdACR","healthNXT- ProdACR","healthnxtprodacr.azurecr.io","false","","ok","28","114","0","0","3","111","0","0","","6","6","381","1998","2236","556","2736","381","1996","2234","556","2723","99","447","442","30","1389","","","","","","","0","0","false","2023-04-13T10:31:51Z","2023-04-25T11:28:01Z","2023-06-18T00:00:52"
"dd82f1a9-b448-4221-a617-dc8ad4474d3c","/api/registries/dd82f1a9-b448-4221-a617-dc8ad4474d3c","healthnxt - dev","","healthnxtdevacr.azurecr.io","true","","ok","1","1","0","0","0","1","0","0","","","","32","197","249","19","321","32","197","249","19","321","21","125","122","5","248","","","","","","","0","1","false","2023-06-16T05:15:37Z","2023-06-16T05:33:53Z","2023-06-18T00:00:52"
"c942023f-ae7e-4182-9faf-d00f04c6e757","/api/registries/c942023f-ae7e-4182-9faf-d00f04c6e757","HealthNXTDEV - ACR","HealthNXTDEV - ACR","healthnxtdevacr.azurecr.io","false","","ok","1","1","0","0","0","0","0","1","","","","32","195","250","20","297","32","195","250","20","297","21","123","122","5","197","","","","","","","0","0","false","2023-04-13T10:33:04Z","2023-06-16T05:09:27Z","2023-06-18T00:00:52"
"cf344e27-df80-41c2-9925-dfdaff201b19","/api/registries/cf344e27-df80-41c2-9925-dfdaff201b19","DataMime - ECR","","705804239638.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","2","8","0","0","0","7","0","1","","","","16","110","186","15","203","16","110","186","15","201","","1","1","","108","","","","","","","0","6","false","2023-05-05T09:58:29Z","2023-06-15T11:59:58Z","2023-06-18T00:00:52"
"f220d039-053b-4e62-aaf8-f52e6be4fa0c","/api/registries/f220d039-053b-4e62-aaf8-f52e6be4fa0c","DataMime","","705804239638.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","2","2","0","0","0","1","0","1","","","","16","110","186","15","152","16","110","186","15","150","","1","1","","57","","","","","","","0","3","false","2023-06-16T04:59:19Z","2023-06-16T05:03:15Z","2023-06-18T00:00:52"
"2bdc6982-2e6a-4a55-933a-f29b289b4e5d","/api/registries/2bdc6982-2e6a-4a55-933a-f29b289b4e5d","ACR-POC","ACR-POC","dpwnadcrpvt.azurecr.io","true","","ok","11","11","0","0","2","9","0","0","","35","35","19","125","46","7","21","7","94","35","7","21","7","94","35","7","21","12","2","","12","2","","0","0","false","2023-04-07T09:31:22Z","2023-04-07T10:41:56Z","2023-06-18T00:00:52"
"8482a973-3593-42f6-9586-e9c938833918","/api/registries/8482a973-3593-42f6-9586-e9c938833918","ACR - May 5","","healthnxtprodacr.azurecr.io","true","","ok","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","false","2023-05-05T10:43:11Z","2023-06-15T05:08:38Z","2023-06-18T00:00:52"
"7d3b5a90-c3db-491e-bf94-8530f6bccb09","/api/registries/7d3b5a90-c3db-491e-bf94-8530f6bccb09","Afteaze-ECR","","153851308551.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","false","2023-05-05T08:08:28Z","2023-05-05T08:09:47Z","2023-06-18T00:00:52"
"c2225676-de2f-4d37-bebf-3d940cd6dc32","/api/registries/c2225676-de2f-4d37-bebf-3d940cd6dc32","GCR-Container-POC","GCR-Container-POC","gcr.io","false","","ok","8","9","0","0","3","6","0","0","3","1","1","13","29","19","2","8","13","29","19","2","8","13","29","18","2","8","15","1","1","15","1","1","0","0","false","2023-04-07T09:12:10Z","2023-04-07T09:22:09Z","2023-06-23T00:00:49"
"455f7f8f-fefa-4561-aa19-5b23e77a3c14","/api/registries/455f7f8f-fefa-4561-aa19-5b23e77a3c14","D3OP","","605051368824.dkr.ecr.us-east-1.amazonaws.com","false","","ok","11","372","0","0","0","369","0","3","","2","2","12114","48739","51080","7001","15885","12073","48673","51046","6993","15842","9550","35206","36472","4454","12515","","","","","","","0","0","false","2023-06-05T06:17:49Z","2023-06-05T11:10:22Z","2023-06-23T00:00:49"
"01553798-ccad-479c-a810-e98f81fcbddb","/api/registries/01553798-ccad-479c-a810-e98f81fcbddb","HealthNXT-UAT","HealthNXT-UAT","healthnxtuatacr.azurecr.io","false","","ok","26","362","0","0","2","360","0","0","","2","2","1383","8293","11543","2316","15122","1383","8293","11543","2316","15085","153","801","928","12","5993","","","","","","","0","0","false","2023-04-13T10:34:48Z","2023-04-26T09:35:45Z","2023-06-23T00:00:49"
"1b878dd5-7a0d-43e5-aaa6-63121f9af6e9","/api/registries/1b878dd5-7a0d-43e5-aaa6-63121f9af6e9","GCR-ISGTECHSEC-POC","GCR-ISGTECHSEC-POC","asia.gcr.io","false","","ok","20","20","0","6","0","5","0","9","","","","465","1214","1721","396","649","449","1198","1715","396","649","374","636","1129","134","426","","","","","","","0","0","false","2023-04-12T11:51:09Z","2023-04-19T12:47:30Z","2023-06-23T00:00:49"
"4fec8623-2577-4329-8d5b-544f645e0706","/api/registries/4fec8623-2577-4329-8d5b-544f645e0706","healthNXT- ProdACR","healthNXT- ProdACR","healthnxtprodacr.azurecr.io","false","","ok","28","114","0","0","3","111","0","0","","6","6","381","1998","2236","556","2736","381","1996","2234","556","2723","99","447","442","30","1389","","","","","","","0","0","false","2023-04-13T10:31:51Z","2023-04-25T11:28:01Z","2023-06-23T00:00:49"
"dd82f1a9-b448-4221-a617-dc8ad4474d3c","/api/registries/dd82f1a9-b448-4221-a617-dc8ad4474d3c","healthnxt - dev","","healthnxtdevacr.azurecr.io","true","","ok","1","1","0","0","0","1","0","0","","","","32","197","249","19","321","32","197","249","19","321","21","125","122","5","248","","","","","","","0","1","false","2023-06-16T05:15:37Z","2023-06-16T05:33:53Z","2023-06-23T00:00:49"
"c942023f-ae7e-4182-9faf-d00f04c6e757","/api/registries/c942023f-ae7e-4182-9faf-d00f04c6e757","HealthNXTDEV - ACR","HealthNXTDEV - ACR","healthnxtdevacr.azurecr.io","false","","ok","1","1","0","0","0","0","0","1","","","","32","195","250","20","297","32","195","250","20","297","21","123","122","5","197","","","","","","","0","0","false","2023-04-13T10:33:04Z","2023-06-16T05:09:27Z","2023-06-23T00:00:49"
"cf344e27-df80-41c2-9925-dfdaff201b19","/api/registries/cf344e27-df80-41c2-9925-dfdaff201b19","DataMime - ECR","","705804239638.dkr.ecr.ap-south-1.amazonaws.com","false","","ok","2","8","0","0","0","7","0","1","","","","16","110","186","15","203","16","110","186","15","201","","1","1","","108","","","","","","","0","0","false","2023-05-05T09:58:29Z","2023-06-15T11:59:58Z","2023-06-23T00:00:49"
