"id","href","name","source.registry","source.repository","source.tag","source.type","source.digest","source.insecureSkipVerify","status","details.requested","details.started","details.updated","details.completed","details.digest","details.os","details.architecture","details.labels.com.azure.dev.image.build.sourceversion","details.labels.com.azure.dev.image.system.teamfoundationcollectionuri","details.labels.image.base.digest","details.labels.image.base.ref.name","findings.vulnerabilities.total.critical","findings.vulnerabilities.total.high","findings.vulnerabilities.total.medium","findings.vulnerabilities.total.low","findings.vulnerabilities.total.negligible","findings.vulnerabilities.total.unknown","findings.vulnerabilities.unresolved.critical","findings.vulnerabilities.unresolved.high","findings.vulnerabilities.unresolved.medium","findings.vulnerabilities.unresolved.low","findings.vulnerabilities.unresolved.negligible","findings.vulnerabilities.unresolved.unknown","findings.vulnerabilities.fixAvailable.critical","findings.vulnerabilities.fixAvailable.high","findings.vulnerabilities.fixAvailable.medium","findings.vulnerabilities.fixAvailable.low","findings.vulnerabilities.fixAvailable.negligible","findings.vulnerabilities.fixAvailable.unknown","findings.scanners.malware.status","findings.scanners.malware.updated","findings.scanners.malware.versions.icrc","findings.scanners.malware.versions.trendX","findings.scanners.malware.versions.denylist","findings.scanners.malware.versions.blacklist","findings.scanners.vulnerabilities.status","findings.scanners.vulnerabilities.updated","findings.scanners.vulnerabilityPatterns.status","timestamp"
"2db0a912-eeb8-47fa-919f-6f3f8c1bae87","/api/scans/2db0a912-eeb8-47fa-919f-6f3f8c1bae87","healthnxtdevacr.azurecr.io/healthnxtpatientweb:112","healthnxtdevacr.azurecr.io","healthnxtpatientweb","112","docker","sha256:a1a6c84163a161c36a2b4fc39e4068b7c1437ce5a10fc17d76766095ca990b9d","true","completed-with-findings","2023-06-16T05:18:53Z","2023-06-16T05:18:59Z","2023-06-16T05:33:53Z","2023-06-16T05:33:53Z","sha256:a1a6c84163a161c36a2b4fc39e4068b7c1437ce5a10fc17d76766095ca990b9d","linux","amd64","","","","","32","197","249","19","131","321","32","197","249","19","131","321","21","125","122","5","71","248","ok","2023-06-15T20:49:28Z","1850900","111200","25300","25300","ok","2023-06-16T03:08:44Z","ok","2023-06-22T00:00:02"
"9f728f32-3583-46e7-ba92-27c210c62d9d","/api/scans/9f728f32-3583-46e7-ba92-27c210c62d9d","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/ml-service:prod_20230421.000","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/ml-service","prod_20230421.000","docker","sha256:a36ef7ec158ca43ae7a4de1f9432270914948701d4a1db95f3d2abbc1909610f","false","failed","2023-06-15T11:13:29Z","2023-06-15T11:13:29Z","2023-06-15T11:30:29Z","2023-06-15T11:23:33Z","sha256:a36ef7ec158ca43ae7a4de1f9432270914948701d4a1db95f3d2abbc1909610f","linux","amd64","","","","","16","110","186","15","76","148","16","110","186","15","76","146","","1","1","","11","53","ok","2023-06-14T21:16:19Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"0d40997b-b9c8-47cd-b610-c7823e70e325","/api/scans/0d40997b-b9c8-47cd-b610-c7823e70e325","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod_20230403.001","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod_20230403.001","docker","sha256:f83a1fc3be134887484d287e03140c3400710ad6af0ff4ade6d3066bbdea137d","false","completed-with-findings","2023-06-15T11:13:28Z","2023-06-15T11:13:29Z","2023-06-15T11:47:24Z","2023-06-15T11:47:24Z","sha256:f83a1fc3be134887484d287e03140c3400710ad6af0ff4ade6d3066bbdea137d","linux","amd64","","","","","","","","","","4","","","","","","4","","","","","","4","ok","2023-06-14T20:49:28Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"913018a4-8076-45d8-9e36-1eafbf41e924","/api/scans/913018a4-8076-45d8-9e36-1eafbf41e924","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod-20230321.001","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod-20230321.001","docker","sha256:0e895297fd005ae30e3ac82a9f84b3bb0122d44769d562922c7471aed7d0d7b0","false","completed-with-findings","2023-06-15T11:13:28Z","2023-06-15T11:13:28Z","2023-06-15T11:54:07Z","2023-06-15T11:54:07Z","sha256:0e895297fd005ae30e3ac82a9f84b3bb0122d44769d562922c7471aed7d0d7b0","linux","amd64","","","","","","","","","","16","","","","","","16","","","","","","16","ok","2023-06-14T21:16:19Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"f8f34306-d325-4b01-af4a-b2bb446a9425","/api/scans/f8f34306-d325-4b01-af4a-b2bb446a9425","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod-20230331.000","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod-20230331.000","docker","sha256:6809c7c8133c7e80b266cfb906e42e22730324a7f68a5e9ceee1545465595814","false","completed-with-findings","2023-06-15T11:13:26Z","2023-06-15T11:13:28Z","2023-06-15T11:59:58Z","2023-06-15T11:59:58Z","sha256:6809c7c8133c7e80b266cfb906e42e22730324a7f68a5e9ceee1545465595814","linux","amd64","","","","","","","","","","10","","","","","","10","","","","","","10","ok","2023-06-14T21:16:19Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"84c2969c-36ea-42e3-b7d9-988c0ec985d7","/api/scans/84c2969c-36ea-42e3-b7d9-988c0ec985d7","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod_20230406.001","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod_20230406.001","docker","sha256:30b70be833c6a6f8fa8cc785e3ca5abcd9021568ec9cbf701afb9df93c60d0c7","false","completed-with-findings","2023-06-15T11:13:26Z","2023-06-15T11:13:26Z","2023-06-15T11:57:06Z","2023-06-15T11:57:06Z","sha256:30b70be833c6a6f8fa8cc785e3ca5abcd9021568ec9cbf701afb9df93c60d0c7","linux","amd64","","","","","","","","","","4","","","","","","4","","","","","","4","ok","2023-06-14T21:16:19Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"1b497b52-35d3-4c44-8228-a494d0e33632","/api/scans/1b497b52-35d3-4c44-8228-a494d0e33632","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod_202301.01","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod_202301.01","docker","sha256:c65b45dbff632aacaca72ed07f0c8d96fc7fa0d9cc546720c04b71f5b6dad653","false","completed-with-findings","2023-06-15T11:13:26Z","2023-06-15T11:13:26Z","2023-06-15T11:58:39Z","2023-06-15T11:58:39Z","sha256:c65b45dbff632aacaca72ed07f0c8d96fc7fa0d9cc546720c04b71f5b6dad653","linux","amd64","","","","","","","","","","13","","","","","","13","","","","","","13","ok","2023-06-14T21:16:19Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"1c373a09-04ef-42e7-b168-ba85d52c4941","/api/scans/1c373a09-04ef-42e7-b168-ba85d52c4941","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod_20230404.001","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod_20230404.001","docker","sha256:4791ce99cc05f5640ac3942a3e7296bf9a7c26dc0f3dfde269e2a9023ea77809","false","completed-with-findings","2023-06-15T11:13:25Z","2023-06-15T11:13:26Z","2023-06-15T11:52:26Z","2023-06-15T11:52:26Z","sha256:4791ce99cc05f5640ac3942a3e7296bf9a7c26dc0f3dfde269e2a9023ea77809","linux","amd64","","","","","","","","","","4","","","","","","4","","","","","","4","ok","2023-06-14T20:49:28Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"ece27857-1eff-4b61-8ae1-8e86a93c41e1","/api/scans/ece27857-1eff-4b61-8ae1-8e86a93c41e1","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/crowd/api:prod_20230525.001","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/crowd/api","prod_20230525.001","docker","sha256:ea0d2c15d73d39e9feba1afeebae72c768d38ee81223c9664ea62f7f4fe193a6","false","completed-with-findings","2023-06-15T09:36:50Z","2023-06-15T09:36:51Z","2023-06-15T09:51:14Z","2023-06-15T09:51:14Z","sha256:ea0d2c15d73d39e9feba1afeebae72c768d38ee81223c9664ea62f7f4fe193a6","linux","amd64","","","","","","","","","","4","","","","","","4","","","","","","4","ok","2023-06-14T20:49:28Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"69aa2614-cb1d-48bc-810d-fc368117c501","/api/scans/69aa2614-cb1d-48bc-810d-fc368117c501","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/ml-service:prod_20230421.000","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/ml-service","prod_20230421.000","docker","sha256:a36ef7ec158ca43ae7a4de1f9432270914948701d4a1db95f3d2abbc1909610f","false","failed","2023-06-15T09:36:50Z","2023-06-15T09:36:50Z","2023-06-15T10:09:50Z","2023-06-15T09:46:53Z","sha256:a36ef7ec158ca43ae7a4de1f9432270914948701d4a1db95f3d2abbc1909610f","linux","amd64","","","","","16","110","186","15","76","148","16","110","186","15","76","146","","1","1","","11","53","ok","2023-06-14T21:16:19Z","1850700","111200","25300","25300","ok","2023-06-15T02:44:19Z","ok","2023-06-22T00:00:02"
"80b075eb-213a-4bc1-9153-4497b1ce794f","/api/scans/80b075eb-213a-4bc1-9153-4497b1ce794f","705804239638.dkr.ecr.ap-south-1.amazonaws.com/dm/ml-service:prod_20230421.000","705804239638.dkr.ecr.ap-south-1.amazonaws.com","dm/ml-service","prod_20230421.000","docker","sha256:a36ef7ec158ca43ae7a4de1f9432270914948701d4a1db95f3d2abbc1909610f","false","failed","2023-06-08T12:16:25Z","2023-06-08T12:16:26Z","2023-06-08T12:50:26Z","2023-06-08T12:26:30Z","sha256:a36ef7ec158ca43ae7a4de1f9432270914948701d4a1db95f3d2abbc1909610f","linux","amd64","","","","","16","110","186","15","73","142","16","110","186","15","73","140","","1","1","","11","52","ok","2023-06-08T07:18:59Z","1849500","111200","25300","25300","ok","2023-06-08T00:02:39Z","ok","2023-06-22T00:00:02"
"61d7699a-1e03-4be7-9536-451f072d5eda","/api/scans/61d7699a-1e03-4be7-9536-451f072d5eda","605051368824.dkr.ecr.us-east-1.amazonaws.com/login-be:login-backend-39","605051368824.dkr.ecr.us-east-1.amazonaws.com","login-be","login-backend-39","docker","sha256:5f3529158ff0af95ae50f47a90b80b1e82e27a7a9c2b03e6435cad9fa6e6efae","false","completed-with-findings","2023-06-05T06:42:17Z","2023-06-05T10:53:16Z","2023-06-05T10:56:45Z","2023-06-05T10:56:45Z","sha256:5f3529158ff0af95ae50f47a90b80b1e82e27a7a9c2b03e6435cad9fa6e6efae","linux","amd64","","","","","21","102","122","18","3","24","21","102","122","18","3","24","13","65","81","10","","13","ok","2023-06-05T07:15:22Z","1848900","111200","25300","25300","ok","2023-06-04T22:55:58Z","ok","2023-06-22T00:00:02"
"acc9d791-8b0c-4728-9863-f4253001447e","/api/scans/acc9d791-8b0c-4728-9863-f4253001447e","605051368824.dkr.ecr.us-east-1.amazonaws.com/login-be:login-backend-70","605051368824.dkr.ecr.us-east-1.amazonaws.com","login-be","login-backend-70","docker","sha256:ef4ed5fe433e576341bd0f402edde1cdb92174a0cefd094471391cabe698f94e","false","completed-with-findings","2023-06-05T06:42:12Z","2023-06-05T10:52:41Z","2023-06-05T10:56:15Z","2023-06-05T10:56:15Z","sha256:ef4ed5fe433e576341bd0f402edde1cdb92174a0cefd094471391cabe698f94e","linux","amd64","","","","","21","102","122","18","3","24","21","102","122","18","3","24","13","65","81","10","","13","ok","2023-06-05T07:15:22Z","1848900","111200","25300","25300","ok","2023-06-04T22:55:58Z","ok","2023-06-22T00:00:02"
"2d415316-7b05-4080-8e29-b7eda22352d7","/api/scans/2d415316-7b05-4080-8e29-b7eda22352d7","605051368824.dkr.ecr.us-east-1.amazonaws.com/login-be:login-backend-45","605051368824.dkr.ecr.us-east-1.amazonaws.com","login-be","login-backend-45","docker","sha256:3e89c357f79bab7339ee3dfa9d567035f35a3aef923f7b0aec08f4939abdbede","false","completed-with-findings","2023-06-05T06:42:08Z","2023-06-05T10:52:17Z","2023-06-05T10:55:44Z","2023-06-05T10:55:44Z","sha256:3e89c357f79bab7339ee3dfa9d567035f35a3aef923f7b0aec08f4939abdbede","linux","amd64","","","","","21","102","122","18","3","24","21","102","122","18","3","24","13","65","81","10","","13","ok","2023-06-05T07:15:22Z","1848900","111200","25300","25300","ok","2023-06-04T22:55:58Z","ok","2023-06-22T00:00:02"
"1a3835ce-c71d-40be-8500-f841c5f6bdc2","/api/scans/1a3835ce-c71d-40be-8500-f841c5f6bdc2","605051368824.dkr.ecr.us-east-1.amazonaws.com/login-be:login-backend-74","605051368824.dkr.ecr.us-east-1.amazonaws.com","login-be","login-backend-74","docker","sha256:02e40c946b3b1cba97723fb4587bd0b7a36a8d66b6ba4d725fe91996ab8b9582","false","completed-with-findings","2023-06-05T06:42:03Z","2023-06-05T10:51:42Z","2023-06-05T10:55:14Z","2023-06-05T10:55:14Z","sha256:02e40c946b3b1cba97723fb4587bd0b7a36a8d66b6ba4d725fe91996ab8b9582","linux","amd64","","","","","21","102","122","18","3","24","21","102","122","18","3","24","13","65","81","10","","13","ok","2023-06-04T20:26:14Z","1848700","111200","25300","25300","ok","2023-06-04T22:55:58Z","ok","2023-06-22T00:00:02"
"0a6aaf53-5a48-4890-bc19-9fe9458b0173","/api/scans/0a6aaf53-5a48-4890-bc19-9fe9458b0173","605051368824.dkr.ecr.us-east-1.amazonaws.com/login-be:login-backend-55","605051368824.dkr.ecr.us-east-1.amazonaws.com","login-be","login-backend-55","docker","sha256:47459a4725230213b7ad508d9cc62a47ea89bb5c450dcb710b66073a1f1f72fe","false","completed-with-findings","2023-06-05T06:41:59Z","2023-06-05T10:51:17Z","2023-06-05T10:54:43Z","2023-06-05T10:54:43Z","sha256:47459a4725230213b7ad508d9cc62a47ea89bb5c450dcb710b66073a1f1f72fe","linux","amd64","","","","","21","102","122","18","3","24","21","102","122","18","3","24","13","65","81","10","","13","ok","2023-06-05T07:15:22Z","1848900","111200","25300","25300","ok","2023-06-04T22:55:58Z","ok","2023-06-22T00:00:02"
